# 100 valid GTIN-12 codes
# Format: <code>,<category>
#
# UPC company (GS1_PREFIX_UPC) codes
397025308298,GS1_PREFIX_UPC
366608101113,GS1_PREFIX_UPC
168289906083,GS1_PREFIX_UPC
074997775609,GS1_PREFIX_UPC
186485133584,GS1_PREFIX_UPC
007714419555,GS1_PREFIX_UPC
342811719796,GS1_PREFIX_UPC
018692450386,GS1_PREFIX_UPC
306094867384,GS1_PREFIX_UPC
194137453287,GS1_PREFIX_UPC
856997810647,GS1_PREFIX_UPC
118298237548,GS1_PREFIX_UPC
305037091374,GS1_PREFIX_UPC
114122343027,GS1_PREFIX_UPC
342924201980,GS1_PREFIX_UPC
648295783422,GS1_PREFIX_UPC
357330320859,GS1_PREFIX_UPC
119295832194,GS1_PREFIX_UPC
676962477947,GS1_PREFIX_UPC
112210534241,GS1_PREFIX_UPC
624434554139,GS1_PREFIX_UPC
369689207859,GS1_PREFIX_UPC
379552705146,GS1_PREFIX_UPC
359976031724,GS1_PREFIX_UPC
330641679069,GS1_PREFIX_UPC
143240952590,GS1_PREFIX_UPC
117750373442,GS1_PREFIX_UPC
802757625655,GS1_PREFIX_UPC
783848307943,GS1_PREFIX_UPC
629919808158,GS1_PREFIX_UPC
771227676049,GS1_PREFIX_UPC
315582034399,GS1_PREFIX_UPC
304013022555,GS1_PREFIX_UPC
834752638095,GS1_PREFIX_UPC
371158750186,GS1_PREFIX_UPC
803497290271,GS1_PREFIX_UPC
307015702807,GS1_PREFIX_UPC
348510905188,GS1_PREFIX_UPC
149851943491,GS1_PREFIX_UPC
836774766114,GS1_PREFIX_UPC
373364725064,GS1_PREFIX_UPC
742103785438,GS1_PREFIX_UPC
336328193835,GS1_PREFIX_UPC
647982827944,GS1_PREFIX_UPC
044748223079,GS1_PREFIX_UPC
151341542879,GS1_PREFIX_UPC
340083300001,GS1_PREFIX_UPC
034175361147,GS1_PREFIX_UPC
356246613673,GS1_PREFIX_UPC
167872229547,GS1_PREFIX_UPC
714069675191,GS1_PREFIX_UPC
369963827452,GS1_PREFIX_UPC
031013922522,GS1_PREFIX_UPC
031038915905,GS1_PREFIX_UPC
695502023840,GS1_PREFIX_UPC
385198838520,GS1_PREFIX_UPC
053947300122,GS1_PREFIX_UPC
029970287556,GS1_PREFIX_UPC
751295016299,GS1_PREFIX_UPC
397521053982,GS1_PREFIX_UPC
951986485117,GS1_PREFIX_UPC
868209058501,GS1_PREFIX_UPC
392193830220,GS1_PREFIX_UPC
340766937548,GS1_PREFIX_UPC
310680786126,GS1_PREFIX_UPC
764010443454,GS1_PREFIX_UPC
013835024653,GS1_PREFIX_UPC
316618442904,GS1_PREFIX_UPC
361508820720,GS1_PREFIX_UPC
000195090510,GS1_PREFIX_UPC
#
# Restricted circulation (GS1_PREFIX_RESTRICTED_CIRCULATION) codes
254917022895,GS1_PREFIX_RESTRICTED_CIRCULATION
462804278335,GS1_PREFIX_RESTRICTED_CIRCULATION
289534888678,GS1_PREFIX_RESTRICTED_CIRCULATION
415242321828,GS1_PREFIX_RESTRICTED_CIRCULATION
461661096489,GS1_PREFIX_RESTRICTED_CIRCULATION
412519353100,GS1_PREFIX_RESTRICTED_CIRCULATION
447780596925,GS1_PREFIX_RESTRICTED_CIRCULATION
431914409052,GS1_PREFIX_RESTRICTED_CIRCULATION
210457484753,GS1_PREFIX_RESTRICTED_CIRCULATION
449027084905,GS1_PREFIX_RESTRICTED_CIRCULATION
221088626887,GS1_PREFIX_RESTRICTED_CIRCULATION
415091129217,GS1_PREFIX_RESTRICTED_CIRCULATION
277688602066,GS1_PREFIX_RESTRICTED_CIRCULATION
465815269033,GS1_PREFIX_RESTRICTED_CIRCULATION
453061522019,GS1_PREFIX_RESTRICTED_CIRCULATION
236437378423,GS1_PREFIX_RESTRICTED_CIRCULATION
465137420181,GS1_PREFIX_RESTRICTED_CIRCULATION
282540162589,GS1_PREFIX_RESTRICTED_CIRCULATION
475738040572,GS1_PREFIX_RESTRICTED_CIRCULATION
253082675073,GS1_PREFIX_RESTRICTED_CIRCULATION
474804862063,GS1_PREFIX_RESTRICTED_CIRCULATION
280946878653,GS1_PREFIX_RESTRICTED_CIRCULATION
426532488237,GS1_PREFIX_RESTRICTED_CIRCULATION
445758639667,GS1_PREFIX_RESTRICTED_CIRCULATION
408236987445,GS1_PREFIX_RESTRICTED_CIRCULATION
223278866332,GS1_PREFIX_RESTRICTED_CIRCULATION
234534288164,GS1_PREFIX_RESTRICTED_CIRCULATION
463900320164,GS1_PREFIX_RESTRICTED_CIRCULATION
493157714782,GS1_PREFIX_RESTRICTED_CIRCULATION
285420116498,GS1_PREFIX_RESTRICTED_CIRCULATION
