# 100 valid GTIN-8 codes
# Format: <code>,<category>
#
# Company (GS1_PREFIX_GTIN_8) codes
95604091,GS1_PREFIX_GTIN_8
96140123,GS1_PREFIX_GTIN_8
11716792,GS1_PREFIX_GTIN_8
97689355,GS1_PREFIX_GTIN_8
17569125,GS1_PREFIX_GTIN_8
10315354,GS1_PREFIX_GTIN_8
12982790,GS1_PREFIX_GTIN_8
95391953,GS1_PREFIX_GTIN_8
19189284,GS1_PREFIX_GTIN_8
52573590,GS1_PREFIX_GTIN_8
96101063,GS1_PREFIX_GTIN_8
18969245,GS1_PREFIX_GTIN_8
58425473,GS1_PREFIX_GTIN_8
19755144,GS1_PREFIX_GTIN_8
11162247,GS1_PREFIX_GTIN_8
14556357,GS1_PREFIX_GTIN_8
96107119,GS1_PREFIX_GTIN_8
96787854,GS1_PREFIX_GTIN_8
14812910,GS1_PREFIX_GTIN_8
96259252,GS1_PREFIX_GTIN_8
95911397,GS1_PREFIX_GTIN_8
18437331,GS1_PREFIX_GTIN_8
38138140,GS1_PREFIX_GTIN_8
14845543,GS1_PREFIX_GTIN_8
95059778,GS1_PREFIX_GTIN_8
14758201,GS1_PREFIX_GTIN_8
18543742,GS1_PREFIX_GTIN_8
97411697,GS1_PREFIX_GTIN_8
97328032,GS1_PREFIX_GTIN_8
97640103,GS1_PREFIX_GTIN_8
15962164,GS1_PREFIX_GTIN_8
87035988,GS1_PREFIX_GTIN_8
96309162,GS1_PREFIX_GTIN_8
10451687,GS1_PREFIX_GTIN_8
57410845,GS1_PREFIX_GTIN_8
17251556,GS1_PREFIX_GTIN_8
18381795,GS1_PREFIX_GTIN_8
76923401,GS1_PREFIX_GTIN_8
44240400,GS1_PREFIX_GTIN_8
97088301,GS1_PREFIX_GTIN_8
89870198,GS1_PREFIX_GTIN_8
96559307,GS1_PREFIX_GTIN_8
11783480,GS1_PREFIX_GTIN_8
39307712,GS1_PREFIX_GTIN_8
11926214,GS1_PREFIX_GTIN_8
96697719,GS1_PREFIX_GTIN_8
14962523,GS1_PREFIX_GTIN_8
96786697,GS1_PREFIX_GTIN_8
86601887,GS1_PREFIX_GTIN_8
97618768,GS1_PREFIX_GTIN_8
97043713,GS1_PREFIX_GTIN_8
96318270,GS1_PREFIX_GTIN_8
74525911,GS1_PREFIX_GTIN_8
30343153,GS1_PREFIX_GTIN_8
95883175,GS1_PREFIX_GTIN_8
18048896,GS1_PREFIX_GTIN_8
96999776,GS1_PREFIX_GTIN_8
11961260,GS1_PREFIX_GTIN_8
16986893,GS1_PREFIX_GTIN_8
17653107,GS1_PREFIX_GTIN_8
#
# Restricted circulation (GS1_PREFIX_RESTRICTED_CIRCULATION) codes
20218324,GS1_PREFIX_RESTRICTED_CIRCULATION
23939233,GS1_PREFIX_RESTRICTED_CIRCULATION
03092958,GS1_PREFIX_RESTRICTED_CIRCULATION
01079623,GS1_PREFIX_RESTRICTED_CIRCULATION
09787278,GS1_PREFIX_RESTRICTED_CIRCULATION
01677874,GS1_PREFIX_RESTRICTED_CIRCULATION
03386453,GS1_PREFIX_RESTRICTED_CIRCULATION
22788351,GS1_PREFIX_RESTRICTED_CIRCULATION
09151079,GS1_PREFIX_RESTRICTED_CIRCULATION
28561187,GS1_PREFIX_RESTRICTED_CIRCULATION
26673974,GS1_PREFIX_RESTRICTED_CIRCULATION
03136812,GS1_PREFIX_RESTRICTED_CIRCULATION
04303442,GS1_PREFIX_RESTRICTED_CIRCULATION
07536083,GS1_PREFIX_RESTRICTED_CIRCULATION
00909648,GS1_PREFIX_RESTRICTED_CIRCULATION
00805148,GS1_PREFIX_RESTRICTED_CIRCULATION
20984236,GS1_PREFIX_RESTRICTED_CIRCULATION
03579534,GS1_PREFIX_RESTRICTED_CIRCULATION
06921675,GS1_PREFIX_RESTRICTED_CIRCULATION
23177499,GS1_PREFIX_RESTRICTED_CIRCULATION
22415455,GS1_PREFIX_RESTRICTED_CIRCULATION
08470621,GS1_PREFIX_RESTRICTED_CIRCULATION
25467352,GS1_PREFIX_RESTRICTED_CIRCULATION
29308873,GS1_PREFIX_RESTRICTED_CIRCULATION
00765961,GS1_PREFIX_RESTRICTED_CIRCULATION
#
# Demonstration (GS1_PREFIX_DEMONSTRATION) codes
95255590,GS1_PREFIX_DEMONSTRATION
95217901,GS1_PREFIX_DEMONSTRATION
95240732,GS1_PREFIX_DEMONSTRATION
95231396,GS1_PREFIX_DEMONSTRATION
95231167,GS1_PREFIX_DEMONSTRATION
95287867,GS1_PREFIX_DEMONSTRATION
95273501,GS1_PREFIX_DEMONSTRATION
95222967,GS1_PREFIX_DEMONSTRATION
95269122,GS1_PREFIX_DEMONSTRATION
95230061,GS1_PREFIX_DEMONSTRATION
95245638,GS1_PREFIX_DEMONSTRATION
95275796,GS1_PREFIX_DEMONSTRATION
95240923,GS1_PREFIX_DEMONSTRATION
95212357,GS1_PREFIX_DEMONSTRATION
95272603,GS1_PREFIX_DEMONSTRATION
